,0,1,Fecha registrada,OSF
61,0.34712285,0.26069996,2021-04-27 14:45:04.622000,"MARCO, Museo de Arte Contemporáneo"
62,0.34712285,0.26069996,2021-04-27 14:45:20.615000,"MARCO, Museo de Arte Contemporáneo"
63,0.34712285,0.26069996,2021-04-27 14:45:32.028000,"MARCO, Museo de Arte Contemporáneo"
64,0.34712285,0.26069996,2021-04-27 14:46:01.182000,"MARCO, Museo de Arte Contemporáneo"
65,0.34712285,0.26069996,2021-04-27 14:46:04.640000,"MARCO, Museo de Arte Contemporáneo"
66,0.34712285,0.26069996,2021-04-27 14:46:42.897000,"MARCO, Museo de Arte Contemporáneo"
67,0.34712285,0.26069996,2021-04-27 15:05:12.466000,Casa Monarca Ayuda Humanitaria al Migrante A.B.P.
68,0.34712285,0.26069996,2021-04-27 15:14:13.224000,"Fundación Yepez, A.C."
69,0.34712285,0.26069996,2021-04-27 15:20:55.880000,"Viccali, Vida con Calidad, A.C."
70,0.34712285,0.26069996,2021-04-27 15:21:03.549000,Casa Monarca Ayuda Humanitaria al Migrante A.B.P.
71,0.34712285,0.26069996,2021-04-27 15:30:32.921000,"Fundación Yepez, A.C."
72,0.34712285,0.26069996,2021-04-27 15:42:56.187000,"Comenzar de Nuevo, A.C."
73,0.34712285,0.26069996,2021-04-27 15:43:12.762000,"Comenzar de Nuevo, A.C."
74,0.34712285,0.26069996,2021-04-27 15:43:21.424000,"Comenzar de Nuevo, A.C."
75,0.34712285,0.26069996,2021-04-27 15:43:55.641000,"Comenzar de Nuevo, A.C."
76,0.34712285,0.26069996,2021-04-27 15:44:39.559000,"Comenzar de Nuevo, A.C."
77,0.34712285,0.26069996,2021-04-27 15:55:27.441000,"Comenzar de Nuevo, A.C."
78,0.34712285,0.26069996,2021-04-27 16:08:27.339000,León Ortigosa ABP
79,0.34712285,0.26069996,2021-04-27 16:09:16.290000,León Ortigosa ABP
80,0.34712285,0.26069996,2021-04-27 16:12:05.640000,"Corporación de Desarrollo Integral GAON, S.A. de C.V."
81,0.34712285,0.26069996,2021-04-27 16:43:18.879000,"Comenzar de Nuevo, A.C."
82,0.34712285,0.26069996,2021-04-27 17:35:47.470000,Zihuame Mochilla A.C.
83,0.26097882,0.25568047,2021-04-27 18:13:19.951000,"Viccali, Vida con Calidad, A.C."
84,0.34712285,0.26069996,2021-04-27 18:16:33.119000,"Programa de Acompañamiento de Servicio Social, Dirección de Servicio Social Campus Mty"
85,0.34712285,0.26069996,2021-04-27 18:30:32.686000,"CIDEPO, Centro de Investigación y Desarrollo de Políticas Públicas, A.C."
86,0.34712285,0.26069996,2021-04-27 18:58:51.289000,Climate Science Ltd
87,0.34712285,0.26069996,2021-04-27 19:22:12.979000,Reapropia
88,0.34712285,0.26069996,2021-04-27 19:24:20.874000,"Blooders.org, A.C."
89,0.34712285,0.26069996,2021-04-27 19:28:48.805000,"Programa de Acompañamiento de Servicio Social, Dirección de Servicio Social Campus Mty"
90,0.26259673,0.42831078,2021-04-27 19:36:06.536000,Climate Science Ltd
91,0.34712285,0.26069996,2021-04-27 20:33:04.303000,"Plan Cuatro Ciénegas 2040, A.C."
92,0.34712285,0.26069996,2021-04-27 21:14:42.953000,"CIDEPO, Centro de Investigación y Desarrollo de Políticas Públicas, A.C."
93,0.34712285,0.26069996,2021-04-27 21:22:09.533000,"Fundación El Mundo Escribe, A.C."
94,0.34712285,0.26069996,2021-04-27 22:01:04.855000,"Fundación El Mundo Escribe, A.C."
95,0.34712285,0.26069996,2021-04-27 22:19:18.262000,"Fundación Rolivel, A.C."
96,0.34712285,0.26069996,2021-04-27 23:23:28.209000,"FICAE, Fundación Internacional de Cabalgantes y Actividades Ecuestres A. C."
97,0.34712285,0.26069996,2021-04-27 23:48:08.620000,"Programa de Acompañamiento de Servicio Social, Dirección de Servicio Social Campus Mty"
98,0.34712285,0.26069996,2021-04-27 23:58:35.618000,Climate Science Ltd
99,0.34712285,0.26069996,2021-04-28 01:35:20.249000,"MARCO, Museo de Arte Contemporáneo"
100,0.34712285,0.26069996,2021-04-28 02:42:00.895000,"Fundación Yepez, A.C."
101,0.26160395,0.3224434,2021-04-28 02:45:06.219000,"TEDI, Taller de Expresión y Desarrollo Integral, A.C."
102,0.34712285,0.26069996,2021-04-28 07:55:47.534000,"PROMOCIÓN DE PAZ, A.B.P."
